Instellingsnummer;Naam;Voornaam;Klas;Klascode;Klasnummer;Gebruikersnaam;Pointer;Stamnummer;
027938;Michiels;Bjorn;1A1;1A1;1;bjorn.michiels;900001;9900001;
027938;Raes;Lien;1A1;1A1;2;lien.raes;900002;9900002;
027938;Cools;Nathan;1A1;1A1;3;nathan.cools;900003;9900003;
027938;Vandael;Lars;1A1;1A1;4;lars.vandael;900004;9900004;
027938;Decock;Katrien;1A1;1A1;5;katrien.decock;900005;9900005;
027938;Leroy;Katja;1A1;1A1;6;katja.leroy;900006;9900006;
027938;Gruyaert;Elke;1A1;1A1;8;elke.gruyaert;900007;9900007;
027938;Moortgat;Sam;1A2;1A2;1;sam.moortgat;900008;9900008;
027938;De Meyer;Veerle;1A2;1A2;2;veerle.demeyer;900009;9900009;
027938;Verhaegen;Hailey;1A2;1A2;3;hailey.verhaegen;900010;9900010;
027938;Gruyaert;Nathan;1A2;1A2;4;nathan.gruyaert;900011;9900011;
027938;Vandeputte;Leon;1A2;1A2;5;leon.vandeputte;900012;9900012;
027938;Sevenants;Celine;1A2;1A2;6;celine.sevenants;900013;9900013;
027938;Boeckx;Anouk;1A2;1A2;7;anouk.boeckx;900014;9900014;
027938;Bogaert;Niko;1A2;1A2;8;niko.bogaert;900015;9900015;
027938;Bauwens;Noah;1A3;1A3;1;noah.bauwens;900016;9900016;
027938;Cools;Femke;1A3;1A3;2;femke.cools;900017;9900017;
027938;Verbiest;Charlotte;1A3;1A3;3;charlotte.verbiest;900018;9900018;
027938;Verstraete;Liam;1A3;1A3;4;liam.verstraete;900019;9900019;
027938;Colpaert;Nathalie;1A3;1A3;5;nathalie.colpaert;900020;9900020;
027938;Nijs;Joris;1A3;1A3;6;joris.nijs;900021;9900021;
027938;Willekens;Tim;1A3;1A3;7;tim.willekens;900022;9900022;
027938;Hermans;Victor;1A3;1A3;8;victor.hermans;900023;9900023;
027938;Stessens;Kevin;1B;1B;1;kevin.stessens;900024;9900024;
027938;Bultinck;Thijs;1B;1B;2;thijs.bultinck;900025;9900025;
027938;Heremans;Warre;1B;1B;3;warre.heremans;900026;9900026;
027938;Huysmans;Kristof;1B;1B;4;kristof.huysmans;900027;9900027;
027938;Leemans;Sander;1B;1B;5;sander.leemans;900028;9900028;
027938;Steens;Hilde;1B;1B;6;hilde.steens;900029;9900029;
027938;Goossens;Stef;1B;1B;7;stef.goossens;900030;9900030;
027938;Buysse;Arne;1e jaar opleidingsfase basis horeca;2BHR;2;arne.buysse;900031;9900031;
027938;Ceulemans;Cedric;1e jaar opleidingsfase basis horeca;2BHR;3;cedric.ceulemans;900032;9900032;
027938;Vermeulen;Lies;1e jaar opleidingsfase basis horeca;2BHR;4;lies.vermeulen;900033;9900033;
027938;Fierens;Wouter;1e jaar opleidingsfase basis hout;2BHT;1;wouter.fierens;900034;9900034;
027938;Desmet;Marie;2 Economie en organisatie;2ECON-ORG;1;marie.desmet;900035;9900035;
027938;Verdoodt;Axel;2 Economie en organisatie;2ECON-ORG;2;axel.verdoodt;900036;9900036;
027938;Moortgat;Dimitri;2 Economie en organisatie;2ECON-ORG;3;dimitri.moortgat;900037;9900037;
027938;Timmermans;Maarten;2 Economie en organisatie 2;2ECON-ORG2;1;maarten.timmermans;900038;9900038;
027938;Vanermen;Kirsten;2 Economie en organisatie 2;2ECON-ORG2;2;kirsten.vanermen;900039;9900039;
027938;Gillis;Kevin;2 Economie en organisatie 2;2ECON-ORG2;3;kevin.gillis;900040;9900040;
027938;Vermeersch;Lena;2 Economie en organisatie 2;2ECON-ORG2;4;lena.vermeersch;900041;9900041;
027938;Declercq;Bram;2 Moderne talen en Wetenschappen;2MT-WET;1;bram.declercq;900042;9900042;
027938;Minten;Stef;2 Moderne talen en Wetenschappen;2MT-WET;2;stef.minten;900043;9900043;
027938;Vermeulen;Jelle;2 Moderne talen en Wetenschappen;2MT-WET;3;jelle.vermeulen;900044;9900044;
027938;Aerts;Sarah;2 Moderne talen en Wetenschappen;2MT-WET;4;sarah.aerts;900045;9900045;
027938;Devolder;Jolien;2 Moderne talen en Wetenschappen;2MT-WET;0;jolien.devolder;900046;9900046;
027938;Luyten;Quinten;2 Moderne talen en Wetenschappen 2;2MT-WET2;1;quinten.luyten;900047;9900047;
027938;Laga;Elke;2 Moderne talen en Wetenschappen 2;2MT-WET2;2;elke.laga;900048;9900048;
027938;Goossens;Jade;2 Moderne talen en Wetenschappen 2;2MT-WET2;3;jade.goossens;900049;9900049;
027938;Simons;Fien;2 Moderne talen en Wetenschappen 3;2MT-WET3;1;fien.simons;900050;9900050;
027938;Stessens;Jana;2 Moderne talen en Wetenschappen 3;2MT-WET3;2;jana.stessens;900051;9900051;
027938;Claes;Margot;2 Moderne talen en Wetenschappen 3;2MT-WET3;3;margot.claes;900052;9900052;
027938;Dewilde;Mila;2B;2B;1;mila.dewilde;900053;9900053;
027938;Vandenberghe;Milan;2B;2B;2;milan.vandenberghe;900054;9900054;
027938;Voet;Senne;2B;2B;3;senne.voet;900055;9900055;
027938;Willems;Lukas;2B;2B;0;lukas.willems;900056;9900056;
027938;Buytaert;Bram;2B;2B;4;bram.buytaert;900057;9900057;
027938;Claeys;Ward;2de jaar opleidingsfase basis hout;3BHT;1;ward.claeys;900058;9900058;
027938;Bogaert;Sven;2de jaar opleidingsfase basis hout;3BHT;2;sven.bogaert;900059;9900059;
027938;Snoeck;Kobe;2de jaar opleidingsfase basis hout;3BHT;3;kobe.snoeck;900060;9900060;
027938;Verbeke;Tinne;2de jaar opleidingsfase basis hout;3BHT;4;tinne.verbeke;900061;9900061;
027938;Bogaerts;Marie;2de jaar opleidingsfase basis hout;3BHT;5;marie.bogaerts;900062;9900062;
027938;Heremans;Tobias;2de jaar opleidingsfase basis hout;3BHT;0;tobias.heremans;900063;9900063;
027938;Devolder;Jana;2e jaar opleidingsfase basis horeca;3BHR;0;jana.devolder;900064;9900064;
027938;Derveaux;Katrijn;2e jaar opleidingsfase basis horeca;3BHR;1;katrijn.derveaux;900065;9900065;
027938;Nijs;Lore;2e jaar opleidingsfase basis horeca;3BHR;2;lore.nijs;900066;9900066;
027938;Laureys;Owen;2e jaar opleidingsfase basis horeca;3BHR;4;owen.laureys;900067;9900067;
027938;Vandeputte;Dries;2Economie en organisatie 3;2ECON-ORG3;1;dries.vandeputte;900068;9900068;
027938;Smeets;Arno;2Economie en organisatie 3;2ECON-ORG3;2;arno.smeets;900069;9900069;
027938;Claessens;Remi;2Economie en organisatie 3;2ECON-ORG3;3;remi.claessens;900070;9900070;
027938;Put;Lien;2Economie en organisatie 3;2ECON-ORG3;4;lien.put;900071;9900071;
027938;Cornelis;Sigrid;3 Bedrijf en Organisatie 1;3BO1;1;sigrid.cornelis;900072;9900072;
027938;Hendrickx;Eva;3 Bedrijf en Organisatie 1;3BO1;2;eva.hendrickx;900073;9900073;
027938;Pieters;Elias;3 Bedrijf en Organisatie 1;3BO1;3;elias.pieters;900074;9900074;
027938;Jacobs;Lotte;3 Bedrijf en Organisatie 1;3BO1;6;lotte.jacobs;900075;9900075;
027938;Meert;Jasper;3 Bedrijf en Organisatie 2;3BO2;1;jasper.meert;900076;9900076;
027938;Moons;Robbe;3 Bedrijf en Organisatie 2;3BO2;2;robbe.moons;900077;9900077;
027938;Declercq;Tine;3 Bedrijf en Organisatie 2;3BO2;0;tine.declercq;900078;9900078;
027938;Leemans;Noah;3 Bedrijf en Organisatie 2;3BO2;3;noah.leemans;900079;9900079;
027938;Luyckx;Ward;3 Bedrijf en Organisatie 2;3BO2;4;ward.luyckx;900080;9900080;
027938;Ooms;Finn;3 Bedrijf en Organisatie 2;3BO2;5;finn.ooms;900081;9900081;
027938;Brouwers;Warre;3 Bedrijf en Organisatie 2;3BO2;6;warre.brouwers;900082;9900082;
027938;Simons;Roos;3 Beroeps Hout;3HT;1;roos.simons;900083;9900083;
027938;Martens;Yasmine;3 Beroeps Hout;3HT;2;yasmine.martens;900084;9900084;
027938;Hermans;Wannes;3 Beroeps Hout;3HT;3;wannes.hermans;900085;9900085;
027938;Thijs;Isabelle;3 Beroeps Hout;3HT;4;isabelle.thijs;900086;9900086;
027938;Desmet;Xander;3 Beroeps Hout;3HT;5;xander.desmet;900087;9900087;
027938;Claes;Leonie;3 Beroeps Hout;3HT;6;leonie.claes;900088;9900088;
027938;Geerts;Finn;3 Humane Wetenschappen;3HW;1;finn.geerts;900089;9900089;
027938;Segers;Jolien;3 Humane Wetenschappen;3HW;0;jolien.segers;900090;9900090;
027938;Londers;Wannes;3 Humane Wetenschappen;3HW;2;wannes.londers;900091;9900091;
027938;Leemans;Raf;3 Natuurwetenschappen;3NW;1;raf.leemans;900092;9900092;
027938;Bultinck;Nora;3 Natuurwetenschappen;3NW;2;nora.bultinck;900093;9900093;
027938;Baert;Bart;3 Natuurwetenschappen;3NW;3;bart.baert;900094;9900094;
027938;Stevens;Daan;3 Natuurwetenschappen;3NW;4;daan.stevens;900095;9900095;
027938;Lemmens;Julie;3 Natuurwetenschappen;3NW;5;julie.lemmens;900096;9900096;
027938;Vanderplaetse;Lisa;3 Natuurwetenschappen;3NW;6;lisa.vanderplaetse;900097;9900097;
027938;Claeys;Niels;3 Natuurwetenschappen;3NW;7;niels.claeys;900098;9900098;
027938;Buysse;Hailey;3 Natuurwetenschappen;3NW;8;hailey.buysse;900099;9900099;
027938;Verbruggen;Max;4 Bedrijf en Organisatie;4BO;1;max.verbruggen;900100;9900100;
027938;Verhoeven;Bjorn;4 Bedrijf en Organisatie;4BO;2;bjorn.verhoeven;900101;9900101;
027938;De Backer;Jens;4 Bedrijf en Organisatie;4BO;3;jens.debacker;900102;9900102;
027938;Gilles;Griet;4 Bedrijf en Organisatie;4BO;4;griet.gilles;900103;9900103;
027938;Smits;Fleur;4 Bedrijf en Organisatie;4BO;5;fleur.smits;900104;9900104;
027938;Delbaere;Elien;4 Bedrijf en Organisatie;4BO;6;elien.delbaere;900105;9900105;
027938;Geerts;Max;4 Bedrijf en Organisatie;4BO;7;max.geerts;900106;9900106;
027938;Verhaegen;Arno;4 Bedrijf en Organisatie;4BO;8;arno.verhaegen;900107;9900107;
027938;Demuynck;Jarne;4 Beroeps Hout;4HT;1;jarne.demuynck;900108;9900108;
027938;Staes;Emma;4 Beroeps Hout;4HT;2;emma.staes;900109;9900109;
027938;Briers;Raf;4 Beroeps Hout;4HT;3;raf.briers;900110;9900110;
027938;Laureys;Elisa;4 Humane Wetenschappen;4HW;1;elisa.laureys;900111;9900111;
027938;Engelen;Robin;4 Humane Wetenschappen;4HW;2;robin.engelen;900112;9900112;
027938;Claessens;Olivia;4 Humane Wetenschappen;4HW;3;olivia.claessens;900113;9900113;
027938;Leroy;Xander;4 Keukenmedewerker;4KM;0;xander.leroy;900114;9900114;
027938;Willekens;Lowie;4 Keukenmedewerker;4KM;1;lowie.willekens;900115;9900115;
027938;Staes;Niko;4 Keukenmedewerker;4KM;2;niko.staes;900116;9900116;
027938;Jacobs;Karolien;4 Keukenmedewerker;4KM;3;karolien.jacobs;900117;9900117;
027938;Geeroms;Michiel;4 Keukenmedewerker;4KM;4;michiel.geeroms;900118;9900118;
027938;Gielen;Roos;4 Medewerker Hout;4MH;1;roos.gielen;900119;9900119;
027938;Gielen;Stan;4 Natuurwetenschappen;4NW;1;stan.gielen;900120;9900120;
027938;Raeymaekers;Amber;4 Natuurwetenschappen;4NW;2;amber.raeymaekers;900121;9900121;
027938;Wouters;Thomas;4 Natuurwetenschappen;4NW;3;thomas.wouters;900122;9900122;
027938;Dooms;Sofie;4 Natuurwetenschappen;4NW;4;sofie.dooms;900123;9900123;
027938;Bergmans;An;4 Natuurwetenschappen;4NW;5;an.bergmans;900124;9900124;
027938;Raeymaekers;Yasmine;4 Natuurwetenschappen;4NW;6;yasmine.raeymaekers;900125;9900125;
027938;Adams;Tinne;5 Applicatie- en databeheer;5AD;1;tinne.adams;900126;9900126;
027938;Bogaerts;Emma;5 Applicatie- en databeheer;5AD;2;emma.bogaerts;900127;9900127;
027938;Mertens;Thijs;5 Applicatie- en databeheer;5AD;0;thijs.mertens;900128;9900128;
027938;Derveaux;Pieter;5 Applicatie- en databeheer;5AD;3;pieter.derveaux;900129;9900129;
027938;Luyten;Lowie;5 Applicatie- en databeheer;5AD;4;lowie.luyten;900130;9900130;
027938;Bauwens;Evy;5 Applicatie- en databeheer;5AD;5;evy.bauwens;900131;9900131;
027938;Van Damme;Owen;5 Bedrijfsorganisatie;5BO;1;owen.vandamme;900132;9900132;
027938;Smet;Wout;5 Bedrijfsorganisatie;5BO;2;wout.smet;900133;9900133;
027938;Huybrechts;Eline;5 Bedrijfsorganisatie;5BO;3;eline.huybrechts;900134;9900134;
027938;Minten;Stan;5 Bedrijfsorganisatie;5BO;4;stan.minten;900135;9900135;
027938;Londers;Leonie;5 Binnenschrijnwerk en interieur;5BI;1;leonie.londers;900136;9900136;
027938;Raes;Katrijn;5 Binnenschrijnwerk en interieur;5BI;2;katrijn.raes;900137;9900137;
027938;Huybrechts;Evy;5 Humane Wetenschappen;5HW;1;evy.huybrechts;900138;9900138;
027938;Luyckx;Lena;5 Humane Wetenschappen;5HW;2;lena.luyckx;900139;9900139;
027938;Leclercq;Manon;5 Keukenmedewerker;5KM;2;manon.leclercq;900140;9900140;
027938;Vanderplaetse;Fien;5 Medewerker Hout;5MH;1;fien.vanderplaetse;900141;9900141;
027938;Gillis;Mathias;5 Medewerker Hout;5MH;2;mathias.gillis;900142;9900142;
027938;Vermeersch;Jonas;5 Medewerker Hout;5MH;3;jonas.vermeersch;900143;9900143;
027938;De Gelas;Hannelore;5 Medewerker Hout;5MH;4;hannelore.degelas;900144;9900144;
027938;Leys;Maud;5 Medewerker Hout;5MH;5;maud.leys;900145;9900145;
027938;De Graef;Jef;5 Medewerker Hout;5MH;6;jef.degraef;900146;9900146;
027938;Claessens;Eline;5 Wetenschappen Wiskunde;5WW;1;eline.claessens;900147;9900147;
027938;Ooms;Margot;5 Wetenschappen Wiskunde;5WW;2;margot.ooms;900148;9900148;
027938;Vermeiren;Wendy;5 Wetenschappen Wiskunde;5WW;5;wendy.vermeiren;900149;9900149;
